ts,route,profile,lcp,cls,fcp,ttfb,source
2026-05-19T20:45:44.636Z,/,desktop,2024,0.1024,1336,,
2026-05-19T20:45:44.636Z,/,mobile,1004,0.0338,768,,
2026-05-19T20:45:44.636Z,/,mobile-cool,1176,0.0338,948,,
2026-05-19T20:45:44.636Z,/,mobile-high-contrast,1164,0.0338,812,,
2026-05-19T20:45:44.636Z,/,mobile-light,1216,0.0338,940,,
2026-05-19T20:45:44.636Z,/,mobile-warm,1320,0.0338,976,,
2026-05-19T20:45:44.636Z,/,tablet,1372,0.0256,1064,,
2026-05-19T20:45:44.636Z,/,tablet-light,1740,0.0256,400,,
2026-05-19T20:45:44.636Z,/community/,desktop,1592,0.0251,1284,,
2026-05-19T20:45:44.636Z,/community/,mobile,784,0.0006,784,,
2026-05-19T20:45:44.636Z,/community/,mobile-cool,608,0.0006,608,,
2026-05-19T20:45:44.636Z,/community/,mobile-high-contrast,2032,0.0007,2032,,
2026-05-19T20:45:44.636Z,/community/,mobile-light,652,0.0007,652,,
2026-05-19T20:45:44.636Z,/community/,mobile-warm,848,0.0007,848,,
2026-05-19T20:45:44.636Z,/community/,tablet,988,0.0007,564,,
2026-05-19T20:45:44.636Z,/community/,tablet-light,792,0.0007,792,,
2026-05-19T20:45:44.636Z,/games/,desktop,1596,0.0009,1596,,
2026-05-19T20:45:44.636Z,/games/,mobile,756,0.0007,756,,
2026-05-19T20:45:44.636Z,/games/,mobile-cool,1436,0.0006,1436,,
2026-05-19T20:45:44.636Z,/games/,mobile-high-contrast,1240,0.0007,1240,,
2026-05-19T20:45:44.636Z,/games/,mobile-light,1060,0.0007,608,,
2026-05-19T20:45:44.636Z,/games/,mobile-warm,1248,0.0007,1248,,
2026-05-19T20:45:44.636Z,/games/,tablet,960,0.0008,960,,
2026-05-19T20:45:44.636Z,/games/,tablet-light,1336,0.0008,1336,,
2026-05-19T20:45:44.636Z,/membership/,desktop,1052,0.0997,544,,
2026-05-19T20:45:44.636Z,/membership/,mobile,1668,0.0006,1668,,
2026-05-19T20:45:44.636Z,/membership/,mobile-cool,1188,0.0308,1188,,
2026-05-19T20:45:44.636Z,/membership/,mobile-high-contrast,1068,0.0308,1068,,
2026-05-19T20:45:44.636Z,/membership/,mobile-light,976,0.0308,976,,
2026-05-19T20:45:44.636Z,/membership/,mobile-warm,1216,0.0308,1216,,
2026-05-19T20:45:44.636Z,/membership/,tablet,1356,0.0187,1356,,
2026-05-19T20:45:44.636Z,/membership/,tablet-light,1036,0.057,1036,,
2026-05-19T20:45:44.636Z,/oracle/,desktop,2248,0.0806,1476,,
2026-05-19T20:45:44.636Z,/oracle/,mobile,1020,0.0074,1020,,
2026-05-19T20:45:44.636Z,/oracle/,mobile-cool,888,0.0074,888,,
2026-05-19T20:45:44.636Z,/oracle/,mobile-high-contrast,860,0.0074,860,,
2026-05-19T20:45:44.636Z,/oracle/,mobile-light,744,0.0074,744,,
2026-05-19T20:45:44.636Z,/oracle/,mobile-warm,932,0.0074,932,,
2026-05-19T20:45:44.636Z,/oracle/,tablet,1416,0.0277,1180,,
2026-05-19T20:45:44.636Z,/oracle/,tablet-light,1256,0.0278,760,,
2026-05-19T20:45:44.636Z,/vaultsparked/,desktop,1144,0,1144,,
2026-05-19T20:45:44.636Z,/vaultsparked/,mobile,960,0.0277,960,,
2026-05-19T20:45:44.636Z,/vaultsparked/,mobile-cool,696,0,696,,
2026-05-19T20:45:44.636Z,/vaultsparked/,mobile-high-contrast,1248,0.0277,1248,,
2026-05-19T20:45:44.636Z,/vaultsparked/,mobile-light,1004,0,1004,,
2026-05-19T20:45:44.636Z,/vaultsparked/,mobile-warm,820,0,820,,
2026-05-19T20:45:44.636Z,/vaultsparked/,tablet,1336,0.016,1336,,
2026-05-19T20:45:44.636Z,/vaultsparked/,tablet-light,1264,0.0003,1264,,
2026-05-19T20:47:26.178Z,/,desktop,2620,0.1024,1900,,
2026-05-19T20:47:26.178Z,/oracle/,desktop,4652,0.0178,4240,,
2026-05-21T16:39:45.067Z,/,desktop,2864,0.1024,2168,,
2026-05-21T16:39:45.067Z,/games/,desktop,1556,0.0097,1556,,
2026-05-21T16:39:45.067Z,/journal/,desktop,1472,0.0302,1472,,
2026-05-21T16:39:45.067Z,/membership/,desktop,2472,0.0997,2472,,
2026-05-21T16:39:45.067Z,/oracle/,desktop,1144,0.0636,1144,,
2026-05-21T16:39:45.067Z,/vaultsparked/,desktop,2144,0.0853,2144,,
2026-05-21T19:22:41.430Z,/,desktop,1780,0.1024,1260,,
2026-05-21T19:22:41.430Z,/membership/,desktop,1224,0.0997,1224,,
2026-05-22T00:55:57.548Z,/,desktop,5156,0.1058,5156,,
2026-05-22T00:55:57.548Z,/membership/,desktop,3592,0.1032,3592,,
